distance version eps NumClusters numNoise Silhouette
cityblock 0 0.63 137 0 -0.17349126821051897
cityblock 0 0.65 12 118 0.12968340618910912
cityblock 0 0.7 3 110 0.2903597708248968
cityblock 0 0.8 1 73 0.44096465799126866
cityblock 0 0.85 1 68 0.4573008601470468
cityblock 0 0.9 1 65 0.46385950149587085
cityblock 0 1 1 41 0.4907201000651148
cityblock 0 1.1 1 31 0.498685354215827
cityblock 0 1.2 1 25 0.49438808454946903
cityblock 0 1.3 1 18 0.508314185230149
cityblock 0 1.5 1 7 0.5684051642772668
cityblock 0 1.9 1 3 0.6207697260408991
cityblock 0 2.4 1 1 0.6968407781665011
cityblock 1 0.63 87 0 -0.05426764578677377
cityblock 1 0.65 3 75 0.43704722566089876
cityblock 1 0.7 1 67 0.4626609549904204
cityblock 1 0.8 1 39 0.5121977384058484
cityblock 1 0.85 1 39 0.5185670737415919
cityblock 1 0.9 1 34 0.5261706329484571
cityblock 1 1 1 27 0.5306156028288295
cityblock 1 1.1 1 15 0.5530458043187265
cityblock 1 1.2 1 8 0.5611590799866287
cityblock 1 1.3 1 4 0.613075366085656
cityblock 1 1.5 1 3 0.6314973392941238
cityblock 1 1.9 1 1 0.7366137555614336
cityblock 1 2.4 1 1 0.7366137555614336
cityblock 2 0.63 3 0 0.7668619331917675
cityblock 2 0.65 3 3 0.7474232035662874
cityblock 2 0.7 2 3 0.7443312996606225
cityblock 2 0.8 1 3 0.7510503598847482
cityblock 2 0.85 1 6 0.7647677821999046
cityblock 2 0.9 1 4 0.7583108008735476
cityblock 2 1 1 5 0.7637971089269505
cityblock 2 1.1 1 2 0.7971561213878348
cityblock 2 1.2 1 2 0.7971561213878348
cityblock 2 1.3 1 17 0.7753674243568606
cityblock 2 1.5 1 15 0.775231517702715
cityblock 2 1.9 1 1 0.8008452513083462
cityblock 2 2.4 1 0 -2
cityblock 3 0.63 119 0 0.2503015512238779
cityblock 3 0.65 8 129 0.36944092658256494
cityblock 3 0.7 2 113 0.5744808311895945
cityblock 3 0.8 1 81 0.6085093459784425
cityblock 3 0.85 1 87 0.6161061200363415
cityblock 3 0.9 1 86 0.6324274668950517
cityblock 3 1 1 73 0.6535023445589325
cityblock 3 1.1 1 69 0.6745422952599389
cityblock 3 1.2 1 70 0.6927146261957772
cityblock 3 1.3 1 77 0.6963410459367346
cityblock 3 1.5 1 76 0.698287071678579
cityblock 3 1.9 1 48 0.7145377288069694
cityblock 3 2.4 1 21 0.7399790062448711
cityblock 4 0.63 18 0 0.49258753559302837
cityblock 4 0.65 4 22 0.5430068540782712
cityblock 4 0.7 1 23 0.6526712667294474
cityblock 4 0.8 1 17 0.6508410075473544
cityblock 4 0.85 1 17 0.6704723171122322
cityblock 4 0.9 1 20 0.6876032468908068
cityblock 4 1 1 15 0.7208549495270506
