limit age education ps-sep ps-high ps-low ps-mode ba pa-sep pa-aug pa-jul pa-jun pa-may pa-apr
100.0 13.6 23.9 -27.2 -29.8 -23.8 -27.7 30.9 20.7 21.0 22.4 21.4 23.2 22.2
13.6 100.0 -18.2 -3.5 -4.6 -3.8 -5.1 6.3 3.6 2.9 2.8 2.5 2.9 2.4
23.9 -18.2 100.0 -11.3 -9.6 -11.8 -11.8 -0.9 3.3 3.8 5.5 4.1 4.2 3.9
-27.2 -3.5 -11.3 100.0 77.4 54.8 59.2 18.0 -9.7 -8.1 -8.4 -7.1 -6.6 -6.6
-29.8 -4.6 -9.6 77.4 100.0 49.2 62.8 8.6 -8.0 -7.4 -7.5 -6.6 -7.5 -6.8
-23.8 -3.8 -11.8 54.8 49.2 100.0 75.0 38.1 -1.9 -2.9 -3.2 -4.4 -2.7 -2.4
-27.7 -5.1 -11.8 59.2 62.8 75.0 100.0 25.5 -1.6 -1.3 -3.8 -4.5 -3.1 -2.9
30.9 6.3 -0.9 18.0 8.6 38.1 25.5 100.0 23.9 21.2 20.1 19.5 20.6 18.6
20.7 3.6 3.3 -9.7 -8.0 -1.9 -1.6 23.9 100.0 18.8 23.6 16.7 19.5 15.7
21.0 2.9 3.8 -8.1 -7.4 -2.9 -1.3 21.2 18.8 100.0 18.4 12.5 13.0 15.6
22.4 2.8 5.5 -8.4 -7.5 -3.2 -3.8 20.1 23.6 18.4 100.0 19.3 19.9 18.4
21.4 2.5 4.1 -7.1 -6.6 -4.4 -4.5 19.5 16.7 12.5 19.3 100.0 17.4 14.3
23.2 2.9 4.2 -6.6 -7.5 -2.7 -3.1 20.6 19.5 13.0 19.9 17.4 100.0 17.3
22.2 2.4 3.9 -6.6 -6.8 -2.4 -2.9 18.6 15.7 15.6 18.4 14.3 17.3 100.0
