limit,sex,education,status,age,ps-sep,ps-aug,ps-jul,ps-jun,ps-may,ps-apr,ba-sep,ba-aug,ba-jul,ba-jun,ba-may,ba-apr,pa-sep,pa-aug,pa-jul,pa-jun,pa-may,pa-apr,credit_default
50000,male,graduate school,,25,2,0,0,0,0,0,48966,49985,50760,49535,30358,30302,2130,1905,1811,1100,1100,1200,no
200000,male,university,married,54,-1,-1,-1,-1,-1,-1,10755,9981,7843,6335,4616,7956,10120,7852,6336,4622,7956,5499,no
30000,female,high school,married,-1,2,3,2,2,2,0,30057,29280,30206,30496,29731,29047,0,1700,1100,3,1053,1303,no
140000,female,university,single,-1,0,0,0,0,0,0,56426,41717,42823,25224,26855,23783,2000,2000,900,2000,10000,5000,no
60000,female,high school,married,36,1,2,2,0,0,0,47987,48716,47632,48738,49601,52773,1788,0,1894,1801,3997,0,yes
260000,female,university,married,44,1,-1,-1,-1,-1,-1,-6,1100,2527,1698,0,5062,1106,2527,1698,0,5062,0,no
50000,female,graduate school,single,29,3,3,2,3,2,2,49624,48530,50255,49104,51044,50933,0,2800,0,3000,800,3000,yes
30000,female,graduate school,single,24,0,-1,2,-1,0,0,2880,3285,2280,248,248,-150,3285,0,248,0,0,0,yes
10000,male,university,single,24,2,0,0,0,0,0,223,3035,4810,7546,9260,10000,3000,2000,3000,2000,1000,0,no
200000,male,university,married,55,1,2,2,2,2,0,181339,177233,188461,191363,188683,196057,0,14000,7000,0,10000,5000,yes
260000,female,graduate school,single,-1,0,0,0,0,0,0,85666,92286,93742,93369,82476,73789,10005,4026,3481,141,20074,60308,no
310000,female,graduate school,married,37,-1,-1,-1,-1,0,-1,325,4373,26863,7443,4221,8172,4373,26863,7443,0,8172,31362,no
120000,female,university,married,27,0,0,0,0,2,0,83567,78276,78971,80907,79219,77809,4326,3000,9000,0,3000,3000,no
150000,female,graduate school,,30,0,0,2,0,-1,-1,14883,12683,2700,1500,18439,1381,4908,0,0,18439,1381,0,no
50000,female,graduate school,single,26,1,-2,-2,-2,-1,-1,-1,-1,-1,-1,349,350,0,0,0,350,351,4076,no
450000,female,university,married,42,0,0,0,0,0,0,7669,13267,18748,24711,33111,50885,7272,8764,9823,11123,20274,5374,no
