              limit  education       age    ps-sep    ps-aug    ps-jul    ps-jun    ps-may    ps-apr    ba-sep    ba-aug    ba-jul    ba-jun    ba-may    ba-apr    pa-sep    pa-aug    pa-jul    pa-jun    pa-may    pa-apr
limit      1.000000   0.254196  0.088969 -0.272013 -0.296985 -0.284455 -0.266059 -0.248085 -0.232110  0.295531  0.286821  0.296212  0.303736  0.303133  0.295468  0.208763  0.192396  0.225850  0.213702  0.226242  0.217154
education  0.254196   1.000000 -0.111807 -0.125942 -0.144822 -0.131320 -0.130120 -0.114255 -0.100610 -0.006765 -0.003844  0.001923  0.014930  0.014963  0.010075  0.040712  0.046104  0.065589  0.047005  0.050888  0.049537
age        0.088969  -0.111807  1.000000 -0.027054 -0.032769 -0.036024 -0.021548 -0.020607 -0.020194  0.048580  0.048349  0.052346  0.051416  0.048247  0.043793  0.023318  0.021721  0.025286  0.020937  0.012551  0.011559
ps-sep    -0.272013  -0.125942 -0.027054  1.000000  0.663077  0.569910  0.538579  0.506934  0.473628  0.174900  0.177987  0.169518  0.167550  0.169614  0.163721 -0.092473 -0.071442 -0.085453 -0.070746 -0.058181 -0.066197
ps-aug    -0.296985  -0.144822 -0.032769  0.663077  1.000000  0.766696  0.656102  0.619256  0.573571  0.226859  0.226721  0.216263  0.212535  0.211267  0.209504 -0.091863 -0.061063 -0.068086 -0.061594 -0.043835 -0.042020
ps-jul    -0.284455  -0.131320 -0.036024  0.569910  0.766696  1.000000  0.779373  0.692359  0.640763  0.205430  0.235607  0.226074  0.223225  0.221644  0.218770 -0.005720 -0.064760 -0.055509 -0.054553 -0.032471 -0.040084
ps-jun    -0.266059  -0.130120 -0.021548  0.538579  0.656102  0.779373  1.000000  0.828237  0.729308  0.198152  0.224280  0.244757  0.242653  0.239421  0.235274 -0.012491  0.005099 -0.071072 -0.051212 -0.032647 -0.030768
ps-may    -0.248085  -0.114255 -0.020607  0.506934  0.619256  0.692359  0.828237  1.000000  0.821477  0.193311  0.216565  0.236447  0.260683  0.257782  0.251191 -0.008235  0.005587  0.011029 -0.068143 -0.030639 -0.027957
ps-apr    -0.232110  -0.100610 -0.020194  0.473628  0.573571  0.640763  0.729308  0.821477  1.000000  0.200355  0.224104  0.238955  0.259385  0.283551  0.278972  0.001159 -0.002343  0.004737  0.018484 -0.041612 -0.028068
ba-sep     0.295531  -0.006765  0.048580  0.174900  0.226859  0.205430  0.198152  0.193311  0.200355  1.000000  0.950307  0.901664  0.857684  0.828271  0.802802  0.139612  0.117288  0.145548  0.163476  0.170634  0.181748
ba-aug     0.286821  -0.003844  0.048349  0.177987  0.226721  0.235607  0.224280  0.216565  0.224104  0.950307  1.000000  0.938532  0.892050  0.862062  0.834672  0.279951  0.127276  0.141495  0.152835  0.162596  0.167714
ba-jul     0.296212   0.001923  0.052346  0.169518  0.216263  0.226074  0.244757  0.236447  0.238955  0.901664  0.938532  1.000000  0.937995  0.899174  0.860036  0.259663  0.297892  0.144238  0.136809  0.174681  0.186198
ba-jun     0.303736   0.014930  0.051416  0.167550  0.212535  0.223225  0.242653  0.260683  0.259385  0.857684  0.892050  0.937995  1.000000  0.941807  0.901090  0.249243  0.234050  0.308071  0.128996  0.180457  0.181675
ba-may     0.303133   0.014963  0.048247  0.169614  0.211267  0.221644  0.239421  0.257782  0.283551  0.828271  0.862062  0.899174  0.941807  1.000000  0.946188  0.229966  0.202792  0.237065  0.292707  0.155322  0.164450
ba-apr     0.295468   0.010075  0.043793  0.163721  0.209504  0.218770  0.235274  0.251191  0.278972  0.802802  0.834672  0.860036  0.901090  0.946188  1.000000  0.215169  0.162291  0.213956  0.261312  0.313244  0.109684
pa-sep     0.208763   0.040712  0.023318 -0.092473 -0.091863 -0.005720 -0.012491 -0.008235  0.001159  0.139612  0.279951  0.259663  0.249243  0.229966  0.215169  1.000000  0.330093  0.252074  0.156476  0.211457  0.136875
pa-aug     0.192396   0.046104  0.021721 -0.071442 -0.061063 -0.064760  0.005099  0.005587 -0.002343  0.117288  0.127276  0.297892  0.234050  0.202792  0.162291  0.330093  1.000000  0.209693  0.099374  0.139907  0.149983
pa-jul     0.225850   0.065589  0.025286 -0.085453 -0.068086 -0.055509 -0.071072  0.011029  0.004737  0.145548  0.141495  0.144238  0.308071  0.237065  0.213956  0.252074  0.209693  1.000000  0.192414  0.182097  0.173138
pa-jun     0.213702   0.047005  0.020937 -0.070746 -0.061594 -0.054553 -0.051212 -0.068143  0.018484  0.163476  0.152835  0.136809  0.128996  0.292707  0.261312  0.156476  0.099374  0.192414  1.000000  0.173510  0.137783
pa-may     0.226242   0.050888  0.012551 -0.058181 -0.043835 -0.032471 -0.032647 -0.030639 -0.041612  0.170634  0.162596  0.174681  0.180457  0.155322  0.313244  0.211457  0.139907  0.182097  0.173510  1.000000  0.150200
pa-apr     0.217154   0.049537  0.011559 -0.066197 -0.042020 -0.040084 -0.030768 -0.027957 -0.028068  0.181748  0.167714  0.186198  0.181675  0.164450  0.109684  0.136875  0.149983  0.173138  0.137783  0.150200  1.000000
