limit age ps-sep ps-aug ps-jul ps-jun ps-may ps-apr ba-sep ba-aug ba-jul ba-jun ba-may ba-apr pa-sep pa-aug pa-jul pa-jun pa-may pa-apr ps pa ba
100.0 13.5 -27.2 -29.7 -28.4 -26.6 -24.8 -23.2 29.6 28.7 29.6 30.4 30.3 29.5 20.9 19.2 22.6 21.4 22.6 21.7 -31.6 37.6 31.1
13.5 100.0 -3.5 -4.8 -4.9 -4.1 -4.3 -4.7 6.4 6.2 6.1 5.8 5.6 5.2 3.1 1.9 2.7 2.4 2.4 1.8 -5.2 4.2 6.2
-27.2 -3.5 100.0 66.3 57.0 53.9 50.7 47.4 17.5 17.8 17.0 16.8 17.0 16.4 -9.2 -7.1 -8.5 -7.1 -5.8 -6.6 73.8 -13.0 17.9
-29.7 -4.8 66.3 100.0 76.7 65.6 61.9 57.4 22.7 22.7 21.6 21.3 21.1 21.0 -9.2 -6.1 -6.8 -6.2 -4.4 -4.2 84.6 -10.8 22.8
-28.4 -4.9 57.0 76.7 100.0 77.9 69.2 64.1 20.5 23.6 22.6 22.3 22.2 21.9 -0.6 -6.5 -5.6 -5.5 -3.2 -4.0 88.0 -7.7 23.3
-26.6 -4.1 53.9 65.6 77.9 100.0 82.8 72.9 19.8 22.4 24.5 24.3 23.9 23.5 -1.2 0.5 -7.1 -5.1 -3.3 -3.1 89.4 -5.2 24.1
-24.8 -4.3 50.7 61.9 69.2 82.8 100.0 82.1 19.3 21.7 23.6 26.1 25.8 25.1 -0.8 0.6 1.1 -6.8 -3.1 -2.8 88.0 -3.1 24.6
-23.2 -4.7 47.4 57.4 64.1 72.9 82.1 100.0 20.0 22.4 23.9 25.9 28.4 27.9 0.1 -0.2 0.5 1.8 -4.2 -2.8 83.4 -1.5 25.7
29.6 6.4 17.5 22.7 20.5 19.8 19.3 20.0 100.0 95.0 90.2 85.8 82.8 80.3 14.0 11.7 14.6 16.3 17.1 18.2 23.7 26.8 93.9
28.7 6.2 17.8 22.7 23.6 22.4 21.7 22.4 95.0 100.0 93.9 89.2 86.2 83.5 28.0 12.7 14.1 15.3 16.3 16.8 25.8 29.9 96.2
29.6 6.1 17.0 21.6 22.6 24.5 23.6 23.9 90.2 93.9 100.0 93.8 89.9 86.0 26.0 29.8 14.4 13.7 17.5 18.6 26.3 36.6 97.0
30.4 5.8 16.8 21.3 22.3 24.3 26.1 25.9 85.8 89.2 93.8 100.0 94.2 90.1 24.9 23.4 30.8 12.9 18.0 18.2 26.9 38.0 96.5
30.3 5.6 17.0 21.1 22.2 23.9 25.8 28.4 82.8 86.2 89.9 94.2 100.0 94.6 23.0 20.3 23.7 29.3 15.5 16.4 27.3 37.2 95.3
29.5 5.2 16.4 21.0 21.9 23.5 25.1 27.9 80.3 83.5 86.0 90.1 94.6 100.0 21.5 16.2 21.4 26.1 31.3 11.0 26.7 36.1 92.9
20.9 3.1 -9.2 -9.2 -0.6 -1.2 -0.8 0.1 14.0 28.0 26.0 24.9 23.0 21.5 100.0 33.0 25.2 15.6 21.1 13.7 -4.1 60.7 23.9
19.2 1.9 -7.1 -6.1 -6.5 0.5 0.6 -0.2 11.7 12.7 29.8 23.4 20.3 16.2 33.0 100.0 21.0 9.9 14.0 15.0 -3.8 64.5 19.8
22.6 2.7 -8.5 -6.8 -5.6 -7.1 1.1 0.5 14.6 14.1 14.4 30.8 23.7 21.4 25.2 21.0 100.0 19.2 18.2 17.3 -5.2 56.9 20.5
21.4 2.4 -7.1 -6.2 -5.5 -5.1 -6.8 1.8 16.3 15.3 13.7 12.9 29.3 26.1 15.6  9.9 19.2 100.0 17.4 13.8 -5.7 47.3 19.5
22.6 2.4 -5.8 -4.4 -3.2 -3.3 -3.1 -4.2 17.1 16.3 17.5 18.0 15.5 31.3 21.1 14.0 18.2 17.4 100.0 15.0 -4.7 51.1 20.0
21.7 1.8 -6.6 -4.2 -4.0 -3.1 -2.8 -2.8 18.2 16.8 18.6 18.2 16.4 11.0 13.7 15.0 17.3 13.8 15.0 100.0 -4.6 54.9 17.5
-31.6 -5.2 73.8 84.6 88.0 89.4 88.0 83.4 23.7 25.8 26.3 26.9 27.3 26.7 -4.1 -3.8 -5.2 -5.7 -4.7 -4.6 100.0 -8.2 27.3
37.6 4.2 -13.0 -10.8 -7.7 -5.2 -3.1 -1.5 26.8 29.9 36.6 38.0 37.2 36.1 60.7 64.5 56.9 47.3 51.1 54.9 -8.2 100.0 35.5
31.1 6.2 17.9 22.8 23.3 24.1 24.6 25.7 93.9 96.2 97.0 96.5 95.3 92.9 23.9 19.8 20.5 19.5 20.0 17.5 27.3 35.5 100.0
