Ranking Distance Version Eps numTrueClusters numNoisePts Silhouette
1 cityblock 2 0.63 3 0 0.7668619331917675
2 cityblock 2 0.65 3 3 0.7474232035662874
3 cityblock 2 0.7 2 3 0.7443312996606225
4 euclidean 2 0.23 4 0 0.671988941208323
5 cityblock 3 0.7 2 113 0.5744808311895945
6 cityblock 4 0.65 4 22 0.5430068540782712
7 euclidean 2 0.25 5 8 0.5068847635892778
8 euclidean 2 0.28 5 5 0.506820118110111
9 euclidean 2 0.3 4 12 0.5065537510427148
10 euclidean 2 0.32 4 13 0.5052580673290505
11 cityblock 4 0.63 18 0 0.49258753559302837
12 euclidean 4 0.23 40 0 0.4394111843780061
13 cityblock 1 0.65 3 75 0.43704722566089876
14 cityblock 3 0.65 8 129 0.36944092658256494
15 euclidean 4 0.3 4 45 0.3577210353907281
16 euclidean 4 0.32 4 45 0.3547802382936244
17 euclidean 4 0.28 5 44 0.3544093541752164
18 euclidean 3 0.32 4 149 0.33809396614009224
19 euclidean 3 0.3 4 147 0.3375605555046514
20 euclidean 3 0.28 6 138 0.3358233591655999
